Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Agar Agar;;Verschiedenes/Gelier- und Bindemittel;pro 100g essbarer Anteil;641;0.2;;;;0;;74.1;2.4;20.5
Agavensirup;Agavendicksaft;Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;1240;0;0;;;73.1;;0;0.2;
Ahornsirup;;Süssigkeiten/Zucker und Süssstoffe;pro 100 ml;1520;0.3;0;0.1;0.1;88.7;77.3;0;0;42.4
Alge, Nori, getrocknet;Algen, getrocknet;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;1060;1.6;0.2;0.1;0.6;10.5;0.5;36.3;31.5;6.5
Älplermagronen, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;753;9;5.3;2.1;0.5;17.8;1.3;1.7;6;65.6
Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;500;2.1;0.4;0.5;0.8;18.1;0.5;3.5;5;71.2
Amaranth, Samen, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1580;7;1.5;1.7;2.8;56.8;1.7;11;15.8;11.1
Amaretti (Mandelgebäck);;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1950;13;1;7.8;2.8;76.7;76.4;2.6;8.8;0
Ananas, in Ananassaft, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;255;0.1;;;;13.6;12.8;1.4;0.5;84.5
Ananas, in Ananassaft, Konserve, nicht abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;249;0.1;;;;13.6;12.6;0.9;0.4;84.9
Ananas, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;295;0.1;;;;15.9;15.9;1.6;0.5;82
Ananas, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;179;0.1;0;0;0;9.4;8.4;1;0.5;86.4
Ananas, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;221;0.1;;;;11.7;10.5;1.2;0.5;86.4
Ananassaft;;Früchte/Fruchtsäfte;pro 100g essbarer Anteil;218;0.1;0;0;0.1;12.1;12.1;0.2;0.4;86.3
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;237;0.3;0.1;0;0.2;12.2;12.1;1.5;0.3;85.7
Apfel, geschält, getrocknet;Dörrapfel;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1120;1.6;0.7;0.1;0.9;55.4;50;11.2;1.4;26.8
Apfel, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;222;0.3;0.1;0;0.2;11.6;11.5;1.4;0.3;85.4
Apfelkuchen, hausgemacht, gebacken (mit Blätterteig);Apfelwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;606;6.8;3;2.6;0.8;17.8;9.4;1.3;2.4;71.8
Apfelkuchen, hausgemacht, gebacken (mit Kuchenteig);Apfelwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;616;6.6;3;2.5;0.8;18.5;9.4;1.3;2.6;71
Apfelmus, gezuckert (Konserve);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;379;0.3;0.1;0;0.1;20.5;20.4;1.9;0.3;76.5
Apfelmus, ungezuckert (Konserve);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;232;0.3;0.1;0;0.1;11.7;11.6;2.1;0.3;85
Apfelsaft;Süssmost;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;212;0.1;0;0;0;11.9;11.3;0.2;0.2;91.9
Apfelwein, 4 vol%;"Apfelmost;Saurer Most;Cider";Alkoholhaltige Getränke/Wein;pro 100 ml;132;0;0;0;0;2.5;2.5;0;0;93.2
Apfelwein, 6.2 vol%;"Apfelmost;Saurer Most;Cider";Alkoholhaltige Getränke/Wein;pro 100 ml;269;0;0;0;0;7.3;7.3;0;0;86.9
Appenzeller, viertelfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;985;11.4;6.8;2.7;0.5;0;0;0;33.1;48.2
